pipes: 1, stages: 1, tasks: 1, time: 0.00031590461731
pipes: 1, stages: 1, tasks: 10, time: 0.000172853469849
pipes: 1, stages: 1, tasks: 100, time: 0.00146698951721
pipes: 1, stages: 1, tasks: 1000, time: 0.0163350105286
pipes: 1, stages: 1, tasks: 10000, time: 0.114581108093
pipes: 1, stages: 1, tasks: 100000, time: 0.800343990326
pipes: 1, stages: 1, tasks: 100000, time: 0.75406908989
pipes: 1, stages: 10, tasks: 100000, time: 1.09778213501
pipes: 1, stages: 100, tasks: 100000, time: 0.853406906128
pipes: 1, stages: 1000, tasks: 100000, time: 1.13754081726
pipes: 1, stages: 10000, tasks: 100000, time: 1.02620315552
pipes: 1, stages: 100000, tasks: 100000, time: 1.04003190994
pipes: 1, stages: 100000, tasks: 100000, time: 0.800462007523
pipes: 10, stages: 100000, tasks: 100000, time: 1.05281710625
pipes: 100, stages: 100000, tasks: 100000, time: 1.02687096596
pipes: 1000, stages: 100000, tasks: 100000, time: 1.35250210762
pipes: 10000, stages: 100000, tasks: 100000, time: 4.715914011
pipes: 100000, stages: 100000, tasks: 100000, time: 37.7690758705
